"business_id","name","address","city","state","postal_code","latitude","longitude","phone_number"
"012DAC8C-F601-1833-85FAF965A9614205","SAMI'S SUBS & MORE","10924 LEESVILLE RD ","RALEIGH","NC","27613","","","19198484787"
"01351F31-B3E9-348D-50CFFEE9ADAB2D18","HIBACHI 88","3416 POOLE RD ","RALEIGH","NC","27610","","","19192311688"
"014B14FD-B51C-8ADB-46806034E1BB70BB","PDQ WAKE FOREST","11690 NORTHPARK DR ","WAKE FOREST","NC","27587","","","19196484221"
"01F7A0CB-0C0D-0E4F-4EE88C06A8A77091","NAPPER TANDY'S","410 GLENWOOD AVE ","RALEIGH","NC","27603","","","19198335535"
"02AEBFE0-016D-48A0-929B27B0249E171D","SERGIO'S","7440 LOUISBURG RD ","RALEIGH","NC","27616","","","19198763114"
"03D0B869-9790-0CB6-E27EB9965164CF3C","TRIBECA TAVERN","6004 FALLS OF NEUSE  RD ","RALEIGH","NC","27609","","","19197909992"
"03D87387-B1D6-0FC2-D98EF338C873D571","Primo Pizza NY Style","682 CARY TOWNE BLVD ","CARY","NC","27511","","","19193802729"
"03EAC77E-F639-BDD0-9AEA1321571A2A41","HARVEST SUNDRIES & DELI","411 FAYETTEVILLE ST ","RALEIGH","NC","27601","","","19198329720"
"0437B855-D417-62F4-46391C43BC92F92A","Antonio's Gourmet Market & Papas","8460-112 HONEYCUTT RD ","RALEIGH","NC","27615","","","111111919887"
"04EDD59D-EE66-E1B1-0B60F2C425C9662E","SUBWAY","1561 E WILLIAMS ST ","APEX","NC","27539","","","19193677785"
"04F99854-009D-5139-7286AC66B1ED4DAF","DICKEY'S BARBECUE PIT #413","6552 GLENWOOD  AVE ","RALEIGH","NC","27612","","","19194363995"
"05FC4828-D045-412A-668B9DA54E40F115","FLYING BURRITO","4800 GROVE BARTON RD ","RALEIGH","NC","27613","","","19197852734"
"05FC4828-D045-412A-668B9DA54E40F115","FLYING BURRITO","4800 GROVE BARTON RD ","RALEIGH","NC","27613","","","19197852734"
"0602A9F6-C40F-A0C9-46C8CFDD00DA960D","RUCKUS PIZZA PASTA & SPIRITS #3","1101 MARKET CENTER  DR ","MORRISVILLE","NC","27560","","","19193883500"
